date,symbol,side,initial_investment,account_before,quantity,entry_time,entry_price,position_value,planned_loss,stop,target,exit_bar_time,exit_price,exit_reason,gross_pnl,estimated_charges,net_pnl,account_after
2026-08-12,CUPID,SHORT,1000.0,1000.0,1,2026-08-12T09:17:00+05:30,282.15,282.15,3.73430000000005,284.97,276.65,2026-08-12T09:22:00+05:30,285.12,STOP,-2.9700000000000273,0.35,-3.3200000000000274,996.68
2026-08-20,ETERNAL,SHORT,1000.0,996.68,1,2026-08-20T09:17:00+05:30,323.25,323.25,4.226499999999988,326.45,320.0,2026-08-20T09:33:00+05:30,326.65,STOP,-3.3999999999999773,0.38,-3.779999999999977,992.9
