date,symbol,expected_bars_through_exit,valid_bars,missing_or_invalid_bars,official_open,minute_first_open,opening_price_difference,official_daily_high,minute_daily_high,official_daily_low,minute_daily_low,bid_ask_depth_available,broker_permission_verified
2026-08-10,CUPID,346,346,0,266.1,266.8999938964844,0.7999938964843523,267.95,267.55999755859375,256.8,256.92999267578125,False,False
2026-08-12,CUPID,346,346,0,281.0,281.0,0.0,290.0,290.0,279.42,279.82000732421875,False,False
2026-08-18,CUPID,346,346,0,273.0,274.3500061035156,1.350006103515625,285.7,285.6000061035156,257.21,257.82000732421875,False,False
2026-08-19,HFCL,346,346,0,233.0,233.0,0.0,234.4,234.10000610351562,224.0,224.00999450683594,False,False
2026-08-20,ETERNAL,346,346,0,323.85,323.6000061035156,0.24999389648439774,328.5,328.5,321.35,322.5,False,False
2026-08-24,ETERNAL,346,346,0,323.0,326.3500061035156,3.350006103515625,329.5,329.45001220703125,323.0,325.95001220703125,False,False
2026-08-26,GROWW,346,346,0,199.98,196.0,3.9799999999999898,199.98,198.66000366210938,195.1,195.19000244140625,False,False
2026-09-04,GROWW,346,346,0,193.0,193.0,0.0,195.68,195.60000610351562,191.85,191.89999389648438,False,False
