pnl_rank,isin,number_of_signals,number_of_trades,gross_pnl,net_pnl,gross_return_pct,net_return_pct,annualized_volatility,sharpe,sortino,max_drawdown,win_rate,average_trade_return,median_trade_return,profit_factor,best_trade,worst_trade,exposure_pct,turnover,trade_std,standard_error,t_stat,p_value,confidence_95_low,confidence_95_high,positive_months,negative_months,best_month,worst_month,monthly_return_std,buy_hold_pnl,excess_pnl,pnl_0bps,pnl_5bps,pnl_10bps,pnl_20bps,pnl_30bps,symbol,company_name,series,first_traded_date,last_traded_date,sessions_available,median_daily_value,median_volume,pct_near_zero_volume,average_daily_range,circuit_like_sessions,corporate_action_observations,coverage_ratio,liquidity_flag,coverage_flag,new_listing_flag,suspension_flag,strategy,parameters,execution_class,evaluation_start,evaluation_end
2652,INE166R01015,88,88,-79989.85416438778,-83278.24233163522,-0.7998985416438777,-0.8327824233163522,0.3422337300578271,-5.033387803436335,-4.641619275600088,-0.8682732384121058,0.2613636363636363,-0.0195749441226998,-0.013696067047293,0.2138870487617137,0.094936170212766,-0.0865435684647303,0.3492063492063492,176.0,0.0329950501715996,0.0035172841663871,-5.565357587472545,2.851399543486727e-07,-0.0265659272605131,-0.0125839609848866,2,3,0.1858011177349685,-0.6830125026285574,0.248860735619402,-92672.40463287642,9394.162301241202,-79989.85416438778,-81706.95536476832,-83278.24233163522,-86031.36289794151,-88335.50538653493,NATIONSTD,NATIONAL STAND (INDIA) L,EQ,2026-04-20,2026-08-27,90,253944.85,250.0,0.4,0.0400452368351821,29,0,0.3571428571428571,LOW,PARTIAL,True,True,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
2651,INE0RYC01010,251,251,-64914.317062878654,-78820.98562186875,-0.6491431706287865,-0.7882098562186874,0.4077124661053889,-3.5864282913380428,-4.047349091926215,-0.8357258652009931,0.4621513944223107,-0.0058256235982931,-0.0019273361430025,0.5034115451601229,0.0559853389341897,-0.1652957206727698,0.996031746031746,502.0,0.0257321597311288,0.0016241995201907,-3.5867659889525414,0.0004026502033861,-0.0090244819439029,-0.0026267652526833,7,6,0.1101346664255589,-0.4373847711126377,0.1940934862426006,39841.77420400738,-118662.75982587611,-64914.317062878654,-72737.04108281061,-78820.98562186875,-87228.57166306436,-92306.40495543394,STALLION,STALLION IND FLUOROCHEM L,BE,2025-08-20,2026-08-27,252,194409665.745,1082740.0,0.0,0.0612168842996366,13,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
2650,INE938A01021,251,251,-64532.39886797545,-78592.49256811949,-0.6453239886797545,-0.7859249256811948,0.5420650644508801,-2.5651562352328425,-4.423132472613077,-0.9204069654008936,0.3466135458167331,-0.0055397672509086,-0.0039801980198019,0.6744713005375043,0.0919849624060149,-0.0536898608349901,0.996031746031746,502.0,0.0342133282100895,0.0021595261277556,-2.565269843095598,0.0108939129306869,-0.0097929504900728,-0.0012865840117444,8,5,0.2942251182240896,-0.5456583407968909,0.2955741565113132,-29960.31746031756,-48632.17510780193,-64532.39886797545,-72441.5901932898,-78592.49256811949,-87092.03010980946,-92224.90784731648,LCCINFOTEC,LCC INFOTECH LTD,EQ,2025-08-20,2026-08-27,252,237334.535,49269.0,0.0039682539682539,0.0677197187117652,19,0,1.0,LOW,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
2649,INE117B01020,247,247,-63773.731913314696,-77957.26266246354,-0.637737319133147,-0.7795726266246354,0.5149891858562334,-2.6700783563254427,-4.062609935850909,-0.8175078292493135,0.3076923076923077,-0.0055670505218477,-0.0027823851570357,0.6343888231684688,0.1003729655857872,-0.127,0.98015873015873,494.0,0.0327598765558652,0.0020844610289464,-2.6707385959916463,0.0080732688017842,-0.0096727178925926,-0.0014613831511028,3,10,0.1748574178819912,-0.3840018947952022,0.1670401867351633,-77474.33008179504,-482.9325806685083,-63773.731913314696,-71738.26206312122,-77957.26266246354,-86601.00743155926,-91863.42378826057,CURAA,CURA TECHNOLOGIES LIMITED,EQ,2025-08-20,2026-08-27,250,33872.315,349.5,0.24,0.0328788865565662,83,0,0.992063492063492,LOW,FULL,False,True,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
2648,INE701A01023,245,245,-62566.68976037222,-77124.83057540379,-0.6256668976037222,-0.7712483057540378,0.2116097704456713,-6.844468754405449,-8.972431207719309,-0.7708838334554617,0.2204081632653061,-0.0059116590283359,-0.0048747539624986,0.282441309121553,0.0581047254971247,-0.065587374903772,0.9722222222222222,490.0,0.0134839253289345,0.0008614563896865,-6.862400812288412,5.55128471602346e-11,-0.007608498961961,-0.0042148190947108,0,13,-0.0217525487334878,-0.1886327727986876,0.0503645116444884,-1997.0593903920671,-75127.77118501172,-62566.68976037222,-70733.88777594361,-77124.83057540379,-86035.0469093156,-91483.09154801747,VHL,VARDHMAN HOLDINGS LIMITED,EQ,2025-08-20,2026-08-27,247,1866618.4,535.0,0.0040485829959514,0.0312284161080838,0,0,0.98015873015873,OK,FULL,False,True,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
2647,INE198H01019,251,251,-61858.49024555773,-76970.70178711458,-0.6185849024555774,-0.7697070178711457,0.313004179526865,-4.5218338574814565,-6.905388828891363,-0.7889109989617439,0.3067729083665338,-0.0056388561614254,-0.0041839671120247,0.4699859991757457,0.0931349974528783,-0.0520258531540848,0.996031746031746,502.0,0.0197535991276822,0.001246836121043,-4.522531924009481,9.444521437779263e-06,-0.0080944978986782,-0.0031832144241725,2,11,0.0711749072450973,-0.302668738613042,0.1168272975308538,29041.095890411103,-106011.79767752568,-61858.49024555773,-70358.89642446791,-76970.70178711458,-86109.3675151946,-91630.10425720642,AAREYDRUGS,AAREY DRUGS & PHARM LTD,EQ,2025-08-20,2026-08-27,252,5697580.085,73684.5,0.0,0.0459205652304889,11,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
2646,INE337M01021,251,251,-55871.56860969254,-73350.81027153278,-0.5587156860969253,-0.7335081027153278,0.4250351450846275,-2.8803940241082624,-2.942455077054758,-0.7894893240845757,0.4302788844621514,-0.0048775645097121,-0.0018243456876865,0.5521093338314306,0.048,-0.202,0.996031746031746,502.0,0.0268264268143189,0.001693269046031,-2.880560842439557,0.0043141082558876,-0.0082124551754988,-0.0015426738439254,8,5,0.1341327276768014,-0.726116147946975,0.2267041007454206,-71442.83867935612,-1907.971592176662,-55871.56860969254,-65702.98604774268,-73350.81027153278,-83922.88369895803,-90310.7727933396,INDOTHAI,INDO THAI SEC LTD,EQ,2025-08-20,2026-08-27,252,151851365.45,572376.0,0.0,0.0477135420264643,20,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
2645,INE451L01014,251,251,-53531.61386878945,-71931.45060849353,-0.5353161386878945,-0.7193145060849352,0.2836915246987238,-4.3249332646970045,-5.905380961112847,-0.7670859371557164,0.3346613545816733,-0.0048882347094905,-0.0021644466370662,0.4753461096234735,0.0432961672473868,-0.0724726745335883,0.996031746031746,502.0,0.017903933935531,0.001130086289354,-4.325541116231768,2.2004737711485755e-05,-0.0071139378407996,-0.0026625315781813,3,10,0.0625515755363601,-0.2512494754945782,0.0980642556277443,258397.9692568045,-330329.419865298,-53531.61386878945,-63880.33092982247,-71931.45060849353,-83062.80092257692,-89790.1189621203,MAHASTEEL,MAHAMAYA STEEL INDS LTD,BE,2025-08-20,2026-08-27,252,5683947.0,7467.0,0.0039682539682539,0.0448085789108505,22,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
2644,INE416A01051,117,117,-63869.08798063203,-71475.2897486685,-0.6386908798063202,-0.714752897486685,0.3135143115276227,-3.832122023684574,-3.672021460233114,-0.714752897486685,0.358974358974359,-0.0102685905807291,-0.0036012810248198,0.3920559599346838,0.048,-0.0519457111834961,0.4642857142857143,234.0,0.0280535360555325,0.0025935503258025,-3.9592794782385874,0.0001300666113232,-0.0154054437946087,-0.0051317373668494,1,5,0.1962419392651018,-0.5708134567235859,0.1849827506528415,-79551.8453427065,8076.555594038,-63869.08798063203,-67894.75200269728,-71475.2897486685,-77491.03273454186,-82246.6194323435,AQYLON,AQYLON NEXUS LIMITED,EQ,2026-03-05,2026-08-27,119,77020920.09,1900326.0,0.0,0.0501925801321788,19,1,0.4722222222222222,OK,PARTIAL,True,True,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
2643,INE343B01030,251,251,-52690.27940556606,-71423.77195311453,-0.5269027940556607,-0.7142377195311453,0.3664909737564532,-3.2257826563947587,-4.317998239692033,-0.7151455281699939,0.3426294820717131,-0.0047100407444971,-0.0021058089091101,0.5482832156318704,0.0479907080468313,-0.0519999999999999,0.996031746031746,502.0,0.0231309782627368,0.0014600144017616,-3.226023482243797,0.0014227019007157,-0.0075855367631373,-0.0018345447258569,3,10,0.2964929768078002,-0.4078518621027869,0.1745715334721652,-58204.87591560078,-13218.896037513749,-52690.27940556606,-63226.6968064726,-71423.77195311453,-82756.77318205003,-89605.83714936604,RAJESHEXPO,RAJESH EXPORTS LTD,BZ,2025-08-20,2026-08-27,252,31702876.085,207123.0,0.0,0.0369393689097819,18,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
