combination_rank,pnl_rank,isin,number_of_signals,number_of_trades,gross_pnl,net_pnl,gross_return_pct,net_return_pct,annualized_volatility,sharpe,sortino,max_drawdown,win_rate,average_trade_return,median_trade_return,profit_factor,best_trade,worst_trade,exposure_pct,turnover,trade_std,standard_error,t_stat,p_value,confidence_95_low,confidence_95_high,positive_months,negative_months,best_month,worst_month,monthly_return_std,buy_hold_pnl,excess_pnl,pnl_0bps,pnl_5bps,pnl_10bps,pnl_20bps,pnl_30bps,symbol,company_name,series,first_traded_date,last_traded_date,sessions_available,median_daily_value,median_volume,pct_near_zero_volume,average_daily_range,circuit_like_sessions,corporate_action_observations,coverage_ratio,liquidity_flag,coverage_flag,new_listing_flag,suspension_flag,strategy,parameters,execution_class,evaluation_start,evaluation_end,score_net_pnl,score_sharpe,score_pnl_30bps,score_max_drawdown,score_excess_pnl,combination_score,positive_pillars,evidence_tier,sample_tier,profit_rank,comparable_rank
223,45,INE141D01018,178,178,5047868.728481846,3532417.9174077883,50.478687284818456,35.324179174077884,0.4168247967031072,8.881489174573934,15.699834006930397,-0.1111215766005068,0.7415730337078652,0.0207978928068125,0.0203891017149404,7.448598997249127,0.1383940886699508,-0.0534403292181069,0.7063492063492064,356.0,0.0291541793502947,0.0021851981289714,9.51762338209656,1.3279106085784786e-17,0.0164854978222937,0.0251102877913313,12,1,0.575248360128416,-0.061303029755842,0.163389985781639,-40875.91240875899,3573293.829816547,5047868.728481846,4224627.899696352,3532417.9174077883,2461336.8443175,1704841.0270046482,TNTELE,TAMILNADU TELECOMMUNICATI,EQ,2025-08-20,2026-08-27,252,237177.705,24768.0,0.0,0.0614621999153734,6,0,1.0,LOW,FULL,False,False,gap_fade_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,99.71863669325597,99.7708484408992,99.71863669325597,78.41334300217548,99.72153734590283,96.53386511965194,5,ROBUST POSITIVE,LOW LIQUIDITY,98,
224,462,INE099F01013,114,114,432461.9685199797,325206.39620009257,4.324619685199798,3.2520639620009257,0.217438106747917,6.782421058836376,9.421947326439057,-0.0449999999999998,0.7982456140350878,0.0129364631070226,0.012913354287861,5.832010258264946,0.0715372735372734,-0.0449999999999999,0.4523809523809524,228.0,0.0180079045423079,0.0016865947890643,7.67016665229918,6.543943247764892e-12,0.0095950146367049,0.0162779115773404,12,1,0.2277750824951925,-0.0205088859991331,0.0738064990653783,11608.581361824792,313597.81483826775,432461.9685199797,375848.0487387475,325206.39620009257,239404.6509794917,170795.74063677678,SREEL,SREELEATHERS LIMITED,EQ,2025-08-20,2026-08-27,252,1186314.8450000002,6036.5,0.0,0.0339761604386485,0,0,1.0,OK,FULL,False,False,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,96.74836838288616,98.97026831036983,97.20087019579405,91.93328498912255,96.60043509789703,96.5313995649021,5,ROBUST POSITIVE,COMPARABLE,1122,39
225,380,INE369C01017,146,146,622354.5905367462,441361.41866141546,6.2235459053674616,4.413614186614154,0.2947537413544681,5.89145394530199,19.48502033858364,-0.0523176203597479,0.4589041095890411,0.0118940280301048,-0.002,6.237987448709895,0.0929707602339182,-0.0263400112338514,0.5793650793650794,292.0,0.023170593939614,0.0019176119986838,6.202520654995896,5.4917777669661766e-09,0.0081039454579084,0.0156841106023011,13,0,0.4573767537488875,0.0011505028303575,0.1370551561792326,80535.78581627744,360825.632845138,622354.5905367462,525388.39411162,441361.41866141546,305486.21155327995,203539.9229452983,NORBTEAEXP,NORBEN TEA & EXPORTS LTD,EQ,2025-08-20,2026-08-27,251,163754.63,2481.0,0.0199203187250996,0.0356430852000316,44,0,0.996031746031746,LOW,FULL,False,True,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,97.39811457577954,98.3118201595359,97.48513415518491,90.78607686729514,96.98042059463378,96.52291515591008,5,ROBUST POSITIVE,LOW LIQUIDITY,898,
226,276,INE320X01016,122,122,857569.9838477337,653363.8186290313,8.575699838477338,6.533638186290313,0.3448361994847194,6.0450577608856175,11.24117975534102,-0.0743646253228195,0.7377049180327869,0.0170865142945033,0.0127967435487005,5.330395296715634,0.1545492957746479,-0.0416155453405766,0.4841269841269841,244.0,0.0287574471458107,0.0026035769316242,6.562707668424345,1.3805509125253231e-09,0.0119320470324527,0.0222409815565539,13,0,0.4926441636907515,0.0537224973972567,0.1190096559928292,36096.98930685927,617266.8293221721,857569.9838477337,749401.9611204251,653363.8186290313,492425.3661401602,365646.5321274952,HALEOSLABS,HALEOS LABS LIMITED,EQ,2025-08-20,2026-08-27,251,1034902.8,792.0,0.0398406374501992,0.0466492988335168,0,0,0.996031746031746,OK,FULL,False,True,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,98.12907904278462,98.47715736040608,98.33212472806382,86.86874546773024,97.97534445250182,96.51950688905004,5,ROBUST POSITIVE,COMPARABLE,646,40
227,374,INE640B01021,58,58,602174.5695446009,527486.3276747691,6.021745695446009,5.274863276747691,0.5706238351295378,3.468220650382197,7.90286706871407,-0.0444096385542168,0.7413793103448276,0.0341215408378715,0.0237342052280404,8.46182445192765,0.4600802620802622,-0.0444096385542168,0.2301587301587301,116.0,0.0691214854691171,0.0090760956909149,3.759495492321317,0.0004030654609662,0.0159469727115944,0.0522961089641486,5,0,1.2638824123427437,0.0,0.3661995550272026,14555.052790346774,512931.2748844223,602174.5695446009,563798.9392204738,527486.3276747691,460619.5990970073,400768.2106242437,HBESD,H B ESTATE DEVELOPERS L,EQ,2026-04-20,2026-08-27,91,95704.75,1284.0,0.0329670329670329,0.0705473078117521,1,0,0.3611111111111111,LOW,PARTIAL,True,True,gap_fade_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,97.71428571428571,95.28063814358231,98.49166062364031,92.01450326323423,97.6301667875272,96.51124002900653,5,ROBUST POSITIVE,LIMITED SAMPLE,789,
228,332,INE521J01018,124,124,695603.68864638,523222.91976010136,6.956036886463799,5.232229197601014,0.298768717314619,6.291496736689295,8.817442837687182,-0.0677858923150013,0.7580645161290323,0.0151588904033046,0.0153546500542397,5.24871732793858,0.1155521183591123,-0.0636048317515098,0.492063492063492,248.0,0.0246000996955942,0.0022091541678579,6.861852660107823,2.9481253151555927e-10,0.0107860051821693,0.0195317756244399,12,1,0.4207876628199594,-0.014749813284926,0.1461465157377542,-19627.83402252977,542850.7537826311,695603.68864638,604200.3295444328,523222.91976010136,387955.9961726243,281863.09351206454,CPCAP,CP CAPITAL LIMITED,EQ,2025-08-20,2026-08-27,252,1714204.0099999998,15494.0,0.0,0.0467562022831044,1,0,1.0,OK,FULL,False,False,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,97.70268310369833,98.68020304568527,97.96664249456127,88.0638143582306,97.72878897751994,96.51036983321247,5,ROBUST POSITIVE,COMPARABLE,793,41
229,93,INE662A01027,145,145,2575320.3332057586,1914091.9205276105,25.753203332057588,19.140919205276106,0.399195007663476,7.760564972280692,10.289338489923647,-0.1047464761904761,0.7241379310344828,0.0213653709902241,0.0187823960880195,8.723391859059227,0.1022553191489362,-0.102952380952381,0.5753968253968254,290.0,0.0301178275204544,0.0025011494385883,8.542220892760023,1.715280825564799e-14,0.0164216613740244,0.0263090806064237,12,1,0.5273497658409447,-0.0237514351415948,0.1801805523746601,-39516.12903225795,1953608.0495598684,2575320.3332057586,2221441.4826752017,1914091.9205276105,1415446.7963471825,1039617.3614919046,SUPERSPIN,SUPER SPINNING MILLS LTD,BE,2025-08-20,2026-08-27,252,215380.475,28942.5,0.0039682539682539,0.0609706715016539,16,0,1.0,LOW,FULL,False,False,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,99.39376359680928,99.44017403915882,99.46047860768672,79.98839738941261,99.39666424945612,96.50616388687455,5,ROBUST POSITIVE,LOW LIQUIDITY,210,
230,219,INE750D01016,131,131,1113233.349033118,837928.2295753479,11.13233349033118,8.379282295753478,0.2937930371273058,7.795977375100352,12.663644978459464,-0.0899120827929057,0.816793893129771,0.0174839990107365,0.0165106382978724,7.6780731535474045,0.0911666666666667,-0.0410007457121552,0.5198412698412699,262.0,0.0226586159313315,0.0019796924657528,8.831674269209001,6.084233680199522e-15,0.0135674142277193,0.0214005837937538,13,0,0.4354766571839625,0.0472500292347686,0.1235957334269767,-32839.62320042668,870767.8527757745,1113233.349033118,966803.5120322998,837928.2295753479,624727.4911529085,459704.5733011967,RELCHEMQ,RELIANCE CHEMOTEX IND LTD,EQ,2025-08-20,2026-08-27,252,442576.125,3354.0,0.0,0.045530456712777,0,0,1.0,LOW,FULL,False,False,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,98.50906453952139,99.46047860768672,98.68600435097898,83.56490210297316,98.54967367657723,96.5012327773749,5,ROBUST POSITIVE,LOW LIQUIDITY,515,
231,282,INE696K01024,104,104,819234.7338192664,649702.3329584938,8.192347338192665,6.497023329584938,0.2895082183762336,7.126288023290559,5.548600069880262,-0.081136690647482,0.903846153846154,0.0198376822044109,0.0183179402602161,10.02734471762077,0.1444566929133858,-0.0811366906474821,0.4126984126984127,208.0,0.0240237796209131,0.0023557254053324,8.421050331038535,2.329852655418225e-13,0.0151656564732333,0.0245097079355886,13,0,0.2982338642204027,0.0302511899677571,0.0939937475081363,-32871.97231833928,682574.3052768331,819234.7338192664,730193.5413063376,649702.3329584938,511191.5026584342,398070.79437043634,PRAKASHSTL,PRAKASH STEELAGE LTD,EQ,2025-08-20,2026-08-27,252,633015.635,137925.5,0.0,0.0438482885972281,0,0,1.0,LOW,FULL,False,False,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,98.10587382160986,99.15010877447426,98.48005801305294,85.40971718636693,98.18419144307468,96.50079767947788,5,ROBUST POSITIVE,LOW LIQUIDITY,654,
232,69,INE699B01027,163,163,3839149.7223050543,2762652.1906377617,38.39149722305054,27.62652190637762,0.4651488487017772,7.480118491756827,11.36846805709134,-0.1076910569105691,0.7484662576687117,0.0213458190465862,0.0180501253132832,7.009806891670466,0.2339374999999999,-0.1076910569105691,0.6468253968253969,326.0,0.0341813066165417,0.0026772865601648,7.972930266109309,2.632232781819116e-13,0.0160589390128047,0.0266326990803677,13,0,0.5915955995224678,0.0939522038716009,0.1414265145737323,-7305.936073059303,2769958.126710821,3839149.7223050543,3258300.151961795,2762652.1906377617,1979037.707958588,1408977.4832939608,SAMBHAAV,SAMBHAAV MEDIA LTD,EQ,2025-08-20,2026-08-27,252,302150.57499999995,41994.0,0.0,0.0598474284482981,1,0,1.0,LOW,FULL,False,False,gap_fade_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,99.60551124002902,99.30674401740391,99.61131254532269,79.25018129079042,99.59680928208847,96.49187817258884,5,ROBUST POSITIVE,LOW LIQUIDITY,137,
