watchlist_rank,combination_rank,pnl_rank,isin,number_of_signals,number_of_trades,gross_pnl,net_pnl,gross_return_pct,net_return_pct,annualized_volatility,sharpe,sortino,max_drawdown,win_rate,average_trade_return,median_trade_return,profit_factor,best_trade,worst_trade,exposure_pct,turnover,trade_std,standard_error,t_stat,p_value,confidence_95_low,confidence_95_high,positive_months,negative_months,best_month,worst_month,monthly_return_std,buy_hold_pnl,excess_pnl,pnl_0bps,pnl_5bps,pnl_10bps,pnl_20bps,pnl_30bps,symbol,company_name,series,first_traded_date,last_traded_date,sessions_available,median_daily_value,median_volume,pct_near_zero_volume,average_daily_range,circuit_like_sessions,corporate_action_observations,coverage_ratio,liquidity_flag,coverage_flag,new_listing_flag,suspension_flag,strategy,parameters,execution_class,evaluation_start,evaluation_end,score_net_pnl,score_sharpe,score_pnl_30bps,score_max_drawdown,score_excess_pnl,combination_score,positive_pillars,evidence_tier,sample_tier,profit_rank,comparable_rank,long_trades,long_pnl_10k,long_win_rate,short_trades,short_pnl_10k,short_win_rate,historical_pnl_10k,historical_ending_10k
1,1099,727,INE497B01018,66,66,155434.38409555316,124230.19686554644,1.5543438409555317,1.2423019686554642,0.1872186188982091,4.411583537490791,5.139858373642148,-0.0503992201810407,0.7727272727272727,0.0125140996521682,0.0126416721795812,4.620833715030716,0.0694716981132075,-0.0389062119366625,0.2619047619047619,132.0,0.0204874943288676,0.0025218362233709,4.962296732910189,5.30217349512423e-06,0.0074776449317179,0.0175505543726184,12,1,0.2197955914142084,-0.0165692451481664,0.0655139596555848,89301.94616012136,34928.250705425075,155434.38409555316,139331.9595902185,124230.19686554644,96787.20905843229,72658.20343337467,SEAMECLTD,SEAMEC LIMITED,EQ,2025-08-20,2026-08-27,252,56103017.5,42985.5,0.0,0.0428082929355981,0,0,1.0,OK,FULL,False,False,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,94.45105148658448,96.61493836113124,95.70123277737493,91.1530094271211,84.83248730964466,92.71544597534448,5,ROBUST POSITIVE,COMPARABLE,1914,392.0,22,3990.2180390683243,0.7727272727272727,44,6027.6413304905855,0.7727272727272727,12423.019686554644,22423.019686554646
2,1568,1004,INE04TZ01018,56,56,66250.05404022566,48766.55035285236,0.6625005404022566,0.4876655035285235,0.1401210174403533,2.905514991899437,3.8031927723269545,-0.0425168454570371,0.625,0.0072700663723776,0.0043948433161444,3.0577784320525105,0.0607225130890052,-0.021840866768241,0.2222222222222222,112.0,0.0177117874324674,0.002366837152845,3.0716377608145464,0.0033066834466368,0.0025268187233235,0.0120133140214317,8,4,0.0817544404132295,-0.022626905667591,0.0375035247313109,13523.914238592712,35242.63611425964,66250.05404022566,57269.86578978168,48766.55035285236,33092.26647513019,19043.036870019743,ETHOSLTD,ETHOS LIMITED,EQ,2025-08-20,2026-08-27,252,52686522.150000006,19979.0,0.0,0.03717457260634,0,0,1.0,OK,FULL,False,False,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,91.0311820159536,94.30891950688904,92.69035532994924,92.3451776649746,84.98042059463378,91.005511240029,5,ROBUST POSITIVE,COMPARABLE,3093,618.0,22,1568.6230619909365,0.5454545454545454,34,2859.4863499035855,0.6764705882352942,4876.655035285236,14876.655035285235
3,1619,907,INE886D01026,68,68,91491.19274671243,67327.78212570449,0.9149119274671244,0.6732778212570449,0.2255041162913978,2.3963838621272227,2.079532155597062,-0.1139106588102948,0.6911764705882353,0.0079469768400583,0.0105489983760176,2.132769561185127,0.0764615384615384,-0.0659908909763733,0.2698412698412698,136.0,0.0266303172191814,0.0032294003158349,2.4608212246376646,0.0164452060782448,0.0015010668311597,0.0143928868489569,10,2,0.1386958904749167,-0.0310393835242227,0.0462561079586239,-42374.94562853406,109702.72775423854,91491.19274671243,79008.2162129785,67327.78212570449,46174.22164061424,27660.50126788824,EFCIL,EFC (I) LIMITED,EQ,2025-08-20,2026-08-27,252,72817153.0,320667.0,0.0,0.0442080331035997,0,0,1.0,OK,FULL,False,False,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,92.40029006526468,93.05003625815807,93.63886874546772,77.70558375634518,93.87092095721538,90.8678752719362,5,ROBUST POSITIVE,COMPARABLE,2621,644.0,20,1314.528770888859,0.6,48,4788.753956437138,0.7291666666666666,6732.778212570449,16732.778212570447
4,1757,634,INE784R01023,118,118,242410.7989212616,171011.7460109176,2.424107989212616,1.710117460109176,0.2707386469643085,3.822993350504266,4.365406877512069,-0.0933390553058065,0.6610169491525424,0.008771458026009,0.0080005095969274,2.655741063225672,0.0840294117647058,-0.0833749999999999,0.4682539682539682,236.0,0.0241400755942311,0.0022222740866196,3.947063991261201,0.0001354699464761,0.0043703606476217,0.0131725554043964,12,1,0.1910772111359295,-0.037467953539209,0.0685685638197255,147967.47967479678,23044.26633612081,242410.7989212616,204644.2295596422,171011.7460109176,114401.09200199434,69536.52827383493,ARFIN,ARFIN INDIA LIMITED,EQ,2025-08-20,2026-08-27,252,78675417.64,994914.5,0.0,0.0439364329101148,0,0,1.0,OK,FULL,False,False,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,95.29804205946338,95.8230601885424,95.6171138506164,82.79332849891226,79.1907179115301,90.36968817984048,5,ROBUST POSITIVE,COMPARABLE,1622,706.0,36,6051.508800974778,0.75,82,6883.8798502518,0.6219512195121951,17101.17460109176,27101.17460109176
5,1920,939,INE0AQ201015,71,71,84304.20931449972,60074.66061288348,0.8430420931449971,0.6007466061288349,0.1658024131551455,2.9229539227496786,1.7599680507066684,-0.0943423216862128,0.7464788732394366,0.0068258142807492,0.0095035317860745,2.476456505668302,0.0499214552463558,-0.0553333333333332,0.2817460317460317,142.0,0.0189002484024209,0.00224304681393,3.0430993407532108,0.0032961518022141,0.0023521984716069,0.0112994300898915,10,2,0.211106349359103,-0.0134471140232427,0.0610642540443496,25322.471147318385,34752.1894655651,84304.20931449972,71768.73495653711,60074.66061288348,38991.46143861031,20651.12151492125,THELEELA,LEELA PALACES HOTEL LTD,EQ,2025-08-20,2026-08-27,252,108974903.75,257313.0,0.0,0.0344865615563455,0,0,1.0,OK,FULL,False,False,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,91.94488759970992,94.33212472806382,92.89920232052212,82.52936910804931,84.77447425670775,89.76678752719361,5,ROBUST POSITIVE,COMPARABLE,2778,787.0,33,5338.126382279166,0.8787878787878788,38,436.38946656647386,0.631578947368421,6007.466061288348,16007.466061288349
