eq_rank,worklist_rank,symbol,current_symbol,company_name,isin,strategy,research_score,eq_screen_pass,worklist_pass,current_series,snapshot_price,broker_listed,mis_margin_percent,budget,notional_cap,cash_cap_shares,illustrative_risk_shares,illustrative_planned_loss,risk_budget,tick_size,recent_median_value,recent_sessions,number_of_trades,audited_trades,short_trades,restricted_trades,unknown_series_trades,non_eq_trades,screen_reasons,worklist_reasons,historical_initial_investment,net_pnl,historical_ending_value,pnl_30bps,sharpe,max_drawdown,original_max_drawdown,excess_pnl,confidence_95_low,coverage_ratio,intraday,execution_validated
12,,TOUCHWOOD,TOUCHWOOD,TOUCHWOOD ENTERTAIN LTD.,INE486Y01013,gap_fade_050,98.57234341431169,True,False,EQ,62.81,False,,1000.0,500.0,7,,,5.0,0.01,93208.98999999999,20.0,164,164,111,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen,100000.0,2728041.804334369,2828041.804334369,1384814.570596825,8.376179756433142,-0.05255385194053663,-0.0525538519405366,2764704.663850515,0.0164392223087961,1.0,True,False
13,,IWP,IWP,INDIAN WOOD PRODUCTS CO L,INE586E01020,gap_fade_050,98.56087836721204,True,False,EQ,34.38,False,,1000.0,500.0,14,,,5.0,0.01,152255.565,20.0,61,61,29,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,289055.78998630296,389055.78998630296,206302.49167538725,5.9638745542371865,-0.013764705882352901,-0.0137647058823529,283146.6990772121,0.0170305311812005,0.3611111111111111,True,False
14,,HEXATRADEX,HEXATRADEX,HEXA TRADEX LIMITED,INE750M01017,gap_fade_050,98.5605685010742,True,False,EQ,157.65,False,,1000.0,500.0,3,2.0,4.140599999999987,5.0,0.01,203274.85499999998,20.0,143,143,107,0,0,0,,Not listed in dated Zerodha MIS table | Fails 20-session INR 50 crore liquidity screen,100000.0,428005.7690669565,528005.7690669565,199631.23491742255,9.009348559760609,-0.031068322981366636,-0.0310683229813666,439261.9047206825,0.0095448933895712,1.0,True,False
15,,KNAGRI,KNAGRI,KN AGRI RESOURCES LIMITED,INE0KNW01016,close_to_open,98.54321599735582,True,False,EQ,199.4,False,,1000.0,500.0,2,1.0,2.6487999999999805,5.0,0.01,2916045.355,20.0,176,176,0,0,0,0,,Not listed in dated Zerodha MIS table | Overnight strategy needs separate delivery and settlement review | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,692667.5096757195,792667.5096757195,294707.47129314445,8.099243400654357,-0.041064200256971994,-0.0410642002569721,687265.2956535793,0.0092414614078171,0.7023809523809523,False,False
16,,PASHUPATI,,PASHUPATI COTSPIN LIMITED,INE124Y01010,gap_fade_100,98.53949760370188,True,False,,,False,,1000.0,500.0,0,,,5.0,,,,89,89,81,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,295547.6191241468,395547.6191241468,178381.47371415235,7.137969630488848,-0.015063909351708316,-0.0150639093517083,249350.6615580937,0.0122236816251337,0.6349206349206349,True,False
17,,AMBICAAGAR,AMBICAAGAR,AMBICA AGAR & AROMAINDLTD,INE792B01012,gap_fade_100,98.4983886960833,True,False,EQ,27.21,False,,1000.0,500.0,18,,,5.0,0.01,148043.31,20.0,118,118,72,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen,100000.0,676802.5984149125,776802.5984149125,388001.0016480964,8.255312594080268,-0.04350943396226403,-0.0435094339622641,685870.333302021,0.0141668822878951,1.0,True,False
18,,IWP,IWP,INDIAN WOOD PRODUCTS CO L,INE586E01020,gap_fade_100,98.48547760700711,True,False,EQ,34.38,False,,1000.0,500.0,14,,,5.0,0.01,152255.565,20.0,56,56,27,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,269804.63131565886,369804.63131565886,196979.9329833692,5.795633570562596,-0.013764705882352901,-0.0137647058823529,263895.540406568,0.0178113080226306,0.3611111111111111,True,False
19,,GANGESSECU,GANGESSECU,GANGES SECURITIES LIMITED,INE335W01016,gap_fade_050,98.45800280945299,True,False,EQ,118.71,False,,1000.0,500.0,4,3.0,4.682260000000021,5.0,0.01,295636.99,20.0,185,185,122,0,0,0,,Not listed in dated Zerodha MIS table | Fails 20-session INR 50 crore liquidity screen,100000.0,1156822.907729435,1256822.907729435,504746.3727646308,8.878123687746506,-0.0511426821800367,-0.0511426821800367,1186936.307955048,0.0110497816779809,1.0,True,False
20,,GANGESSECU,GANGESSECU,GANGES SECURITIES LIMITED,INE335W01016,gap_fade_100,98.42598330854405,True,False,EQ,118.71,False,,1000.0,500.0,4,3.0,4.682260000000021,5.0,0.01,295636.99,20.0,147,147,100,0,0,0,,Not listed in dated Zerodha MIS table | Fails 20-session INR 50 crore liquidity screen,100000.0,983098.90983609,1083098.9098360902,506546.6209095216,8.884021756072874,-0.0511426821800367,-0.0511426821800365,1013212.3100617032,0.0132893813522563,1.0,True,False
21,,COMPUSOFT,COMPUSOFT,COMPUCOM SOFTWARE LTD,INE453B01029,gap_fade_100,98.4058420095852,True,False,EQ,13.02,False,,1000.0,500.0,38,,,5.0,0.01,307889.41000000003,20.0,117,117,87,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen,100000.0,617036.2988610881,717036.2988610881,352112.3078499983,7.335656919905201,-0.04426649711896957,-0.0442664971189696,649921.201701148,0.0131697309435019,1.0,True,False
