eq_rank,worklist_rank,symbol,current_symbol,company_name,isin,strategy,research_score,eq_screen_pass,worklist_pass,current_series,snapshot_price,broker_listed,mis_margin_percent,budget,notional_cap,cash_cap_shares,illustrative_risk_shares,illustrative_planned_loss,risk_budget,tick_size,recent_median_value,recent_sessions,number_of_trades,audited_trades,short_trades,restricted_trades,unknown_series_trades,non_eq_trades,screen_reasons,worklist_reasons,historical_initial_investment,net_pnl,historical_ending_value,pnl_30bps,sharpe,max_drawdown,original_max_drawdown,excess_pnl,confidence_95_low,coverage_ratio,intraday,execution_validated
15914,385,IOLCP,IOLCP,IOL CHEM AND PHARMA LTD,INE485C01029,gap_continuation_100,37.522723516774086,True,True,EQ,199.95,True,20.0,1000.0,500.0,2,1.0,2.649900000000009,5.0,0.01,644714183.21,20.0,42,42,16,0,0,0,,,100000.0,-14506.56904094234,85493.43095905766,-27803.596202374218,-0.6874651084267572,-0.27538246827418633,-0.2753824682741863,-113076.96912322144,-0.012859142794122,1.0,True,False
15922,386,TATAPOWER,TATAPOWER,TATA POWER CO LTD,INE245A01021,gap_continuation_100,37.49297636754255,True,True,EQ,368.0,True,20.0,1000.0,500.0,1,1.0,4.845999999999977,5.0,0.05,1580684879.8,20.0,21,21,11,0,0,0,,,100000.0,-21517.69694450241,78482.30305549758,-27924.53891282392,-2.595132002424111,-0.22908772939259903,-0.229087729392599,-11971.24955917534,-0.0191481885367945,1.0,True,False
15961,387,JIOFIN,JIOFIN,JIO FIN SERVICES LTD,INE758E01017,gap_fade_050,37.306436952569825,True,True,EQ,239.5,True,20.0,1000.0,500.0,2,1.0,3.1689999999999863,5.0,0.01,2367567909.325,20.0,74,74,44,0,0,0,,,100000.0,-23040.81596656388,76959.18403343612,-42855.10395247035,-1.8219217919196908,-0.30180655459377503,-0.3018065545937751,5090.7868103753135,-0.0070923503074879,1.0,True,False
15980,388,HINDPETRO,HINDPETRO,HINDUSTAN PETROLEUM CORP,INE094A01015,momentum_5d,37.23124276979012,True,True,EQ,356.5,True,20.0,1000.0,500.0,1,1.0,4.693000000000011,5.0,0.05,1550322480.175,20.0,62,62,27,0,0,0,,,100000.0,-20801.613459044427,79198.38654095557,-38287.61694348036,-1.6646330230126407,-0.23325938446139982,-0.2332593844613998,-14583.211032350664,-0.0079058382956434,1.0,True,False
15986,389,JSWINFRA,JSWINFRA,JSW INFRASTRUCTURE LTD,INE880J01026,momentum_1d,37.21657577259957,True,True,EQ,333.0,True,20.0,1000.0,500.0,1,1.0,4.376000000000012,5.0,0.05,687390417.0250001,20.0,61,61,31,0,0,0,,,100000.0,-19952.154713468302,80047.8452865317,-37372.639578104194,-1.532215160178199,-0.19952154713468306,-0.199521547134683,-28044.270497891805,-0.0080052540389719,1.0,True,False
16048,390,IOLCP,IOLCP,IOL CHEM AND PHARMA LTD,INE485C01029,gap_continuation_050,37.03953891918691,True,True,EQ,199.95,True,20.0,1000.0,500.0,2,1.0,2.649900000000009,5.0,0.01,644714183.21,20.0,120,120,34,0,0,0,,,100000.0,-9990.33805873277,90009.66194126723,-44393.78976325636,-0.1340484449062985,-0.34045799433643864,-0.3404579943364386,-108560.73814101188,-0.0060947745043413,1.0,True,False
16100,391,CUPID,CUPID,CUPID LIMITED,INE509F01029,momentum_5d,36.80466038671294,True,True,EQ,283.15,True,50.0,1000.0,500.0,1,1.0,3.7163000000000115,5.0,0.05,5126613244.780001,20.0,149,149,27,0,0,0,,,100000.0,-5969.354417819195,94030.6455821808,-48286.346133406456,0.1008445805764847,-0.44051548880983293,-0.4405154888098329,-612984.682358275,-0.0057094126069423,1.0,True,False
16121,392,NTPC,NTPC,NTPC LTD,INE733E01010,gap_continuation_100,36.7366964138159,True,True,EQ,332.5,True,20.0,1000.0,500.0,1,1.0,4.3750000000000115,5.0,0.05,2596856663.35,20.0,20,20,9,0,0,0,,,100000.0,-21084.933985206764,78915.06601479324,-27234.26511372585,-2.741842680186539,-0.21084933985206766,-0.2108493398520676,-19846.31288387848,-0.019007423067294,1.0,True,False
16122,393,GENUSPOWER,GENUSPOWER,GENUS POWER INFRASTRU LTD,INE955D01029,turn_of_month,36.73525037183936,True,True,EQ,337.8,True,20.0,1000.0,500.0,1,1.0,4.455600000000023,5.0,0.05,826636208.7750001,20.0,75,75,0,0,0,0,,,100000.0,-22886.69759163712,77113.30240836288,-42972.37295719695,-1.0928822529310835,-0.26460727956820906,-0.2646072795682089,-17369.06391700676,-0.0088959098230171,1.0,True,False
16174,394,UNIONBANK,UNIONBANK,UNION BANK OF INDIA,INE692A01016,momentum_5d,36.54148074698397,True,True,EQ,187.22,True,20.0,1000.0,500.0,2,2.0,4.948880000000009,5.0,0.01,1686478721.005,20.0,60,60,23,0,0,0,,,100000.0,-16878.632194773003,83121.367805227,-34696.47169653075,-1.4182976876666396,-0.19908799569353752,-0.1990879956935376,-51031.1807296378,-0.0070843993624374,1.0,True,False
16187,395,EDELWEISS,EDELWEISS,EDELWEISS FIN SERV LTD,INE532F01054,gap_fade_100,36.51028755577591,True,True,EQ,136.08,True,20.0,1000.0,500.0,3,2.0,3.604320000000027,5.0,0.01,529679119.34000003,20.0,46,46,32,0,0,0,,,100000.0,-19357.69975730672,80642.30024269328,-32996.97785371434,-1.271737544604991,-0.22343138315110356,-0.2234313831511036,-46148.50154810838,-0.0113232275098449,1.0,True,False
16230,396,ENGINERSIN,ENGINERSIN,ENGINEERS INDIA LTD,INE510A01028,reversal_1d,36.35204924805817,True,True,EQ,279.45,True,20.0,1000.0,500.0,1,1.0,3.6489,5.0,0.05,643467907.135,20.0,73,73,41,0,0,0,,,100000.0,-19020.107846878847,80979.89215312115,-39620.22649240936,-0.7946246287256226,-0.27270609557315584,-0.2727060955731557,-45032.96630182324,-0.0088348294081076,1.0,True,False
16254,397,UNIONBANK,UNIONBANK,UNION BANK OF INDIA,INE692A01016,gap_fade_100,36.263427532639234,True,True,EQ,187.22,True,20.0,1000.0,500.0,2,2.0,4.948880000000009,5.0,0.01,1686478721.005,20.0,37,37,21,0,0,0,,,100000.0,-16572.72757155029,83427.27242844971,-28125.612675103606,-1.4212226160113994,-0.2585735758889085,-0.2585735758889085,-50725.27610641508,-0.0113078342511495,1.0,True,False
16290,398,LTF,LTF,L&T FINANCE LIMITED,INE498L01015,gap_fade_100,36.09713270533796,True,True,EQ,314.0,True,20.0,1000.0,500.0,1,1.0,4.098000000000023,5.0,0.05,1074454374.875,20.0,42,42,22,0,0,0,,,100000.0,-16517.036709128413,83482.96329087159,-29507.345767337876,-0.8456005205857055,-0.3233935483902861,-0.3233935483902861,-64837.54539456367,-0.0131274912202099,1.0,True,False
16297,399,SAIL,SAIL,STEEL AUTHORITY OF INDIA,INE114A01011,momentum_5d,36.068418443232524,True,True,EQ,196.8,True,20.0,1000.0,500.0,2,1.0,2.603600000000008,5.0,0.01,3778441048.885,20.0,56,56,15,0,0,0,,,100000.0,-17556.334485334373,82443.66551466563,-34188.26152570154,-0.843373260206007,-0.2456448886953697,-0.2456448886953697,-74492.42165397969,-0.0103456734096735,1.0,True,False
16298,400,MARKSANS,MARKSANS,MARKSANS PHARMA LIMITED,INE750C01026,turn_of_month,36.06676582383077,True,True,EQ,326.75,True,20.0,1000.0,500.0,1,1.0,4.2935,5.0,0.05,723088181.3,20.0,75,75,0,0,0,0,,,100000.0,-16406.692887347934,83593.30711265207,-38160.5139211175,-0.665416788312118,-0.2363011019432213,-0.2363011019432213,-93392.80098372292,-0.0081949871750424,1.0,True,False
16348,401,SAMMAANCAP,SAMMAANCAP,SAMMAAN CAPITAL LIMITED,INE148I01020,volume_reversal,35.89840522227731,True,True,EQ,158.39,True,20.0,1000.0,500.0,3,2.0,4.163560000000025,5.0,0.01,963280553.225,20.0,21,21,17,0,0,0,,,100000.0,-20037.531788987864,79962.46821101214,-26560.624420647146,-1.809293644920111,-0.23543854989507318,-0.2354385498950731,-39360.49907113872,-0.0215309242234047,1.0,True,False
16365,402,CROMPTON,CROMPTON,CROMPT GREA CON ELEC LTD,INE299U01018,reversal_5d,35.80957692943315,True,True,EQ,232.4,True,20.0,1000.0,500.0,2,1.0,3.074799999999993,5.0,0.01,847721314.9200001,20.0,54,54,28,0,0,0,,,100000.0,-25947.71947118039,74052.28052881961,-40433.47760725607,-2.1850584019556067,-0.27661596313736614,-0.2766159631373662,1851.9770386829184,-0.0102014864872968,1.0,True,False
