date,symbol,isin,series,close
2026-09-04,ALANKIT,INE914E01040,EQ,8.14
2026-09-04,ALBERTDAVD,INE155C01010,EQ,860.25
2026-09-04,ALEMBICLTD,INE426A01027,EQ,111.41
2026-09-04,APLLTD,INE901L01018,EQ,808.2
2026-09-04,ALFREDHE,INE782D01027,EQ,2898.9
2026-09-04,ALGOQUANT,INE598D01035,EQ,64.5
2026-09-04,ALICON,INE062D01024,EQ,684.2
2026-09-04,ALIVUS,INE03Q201024,EQ,1366.3
2026-09-04,ALKALI,INE773I01017,BE,65.55
2026-09-04,ALKEM,INE540L01014,EQ,5190.0
2026-09-04,ALKYLAMINE,INE150B01039,EQ,2020.9
2026-09-04,ALLTIME,INE0GV601021,EQ,206.08
2026-09-04,AGL,INE1YPB01014,EQ,13.65
2026-09-04,ALLCARGO,INE418H01029,EQ,12.44
2026-09-04,ATL,INE0NN701020,EQ,25.31
2026-09-04,ALLDIGI,INE835G01018,EQ,805.85
2026-09-04,ABDL,INE552Z01027,EQ,609.95
2026-09-04,ADSL,INE102I01027,EQ,104.13
2026-09-04,ALMONDZ,INE326B01035,EQ,17.89
2026-09-04,ALOKINDS,INE270A01029,EQ,7.83
2026-09-04,ALPA,INE385I01010,EQ,62.71
2026-09-04,ALPHAGEO,INE137C01018,BE,323.85
2026-09-04,ALPINETEX,INE1JCQ01037,EQ,57.76
2026-09-04,ALUFLUOR,INE058F01019,EQ,499.05
2026-09-04,AMAGI,INE121R01077,EQ,563.3
2026-09-04,AMAL,INE841D01013,EQ,743.2
2026-09-04,AMANTA,INE084K01015,BE,194.03
2026-09-04,ARE&M,INE885A01032,EQ,864.2
2026-09-04,AMARJOTHI,INE484D01012,EQ,160.94
2026-09-04,AMBALALSA,INE432A01017,BE,43.73
2026-09-04,AMBER,INE371P01015,EQ,7474.0
2026-09-04,AMBICAAGAR,INE792B01012,EQ,27.21
2026-09-04,AMBIKCO,INE540G01014,EQ,1639.1
2026-09-04,AMBUJACEM,INE079A01024,EQ,405.0
2026-09-04,AMDIND,INE005I01014,EQ,60.32
2026-09-04,AMNPLST,INE275D01022,EQ,172.89
2026-09-04,AEROPLANE,INE05TO01019,EQ,194.29
2026-09-04,AMJLAND,INE606A01024,EQ,39.47
