symbol,mis_margin_percent,listed_mis_multiplier
LTGILTCASE,20.0,5.0
LTM,20.0,5.0
LTTS,20.0,5.0
LUMAXIND,20.0,5.0
LUMAXTECH,20.0,5.0
LUMINO,20.0,5.0
LUPIN,20.0,5.0
LUXIND,20.0,5.0
LXCHEM,20.0,5.0
M&M,20.0,5.0
M&MFIN,20.0,5.0
MACPOWER,20.0,5.0
MAGADSUGAR,20.0,5.0
MAHABANK,20.0,5.0
MAHLIFE,20.0,5.0
MAHLOG,20.0,5.0
MAHSCOOTER,20.0,5.0
MAHSEAMLES,20.0,5.0
MAITHANALL,20.0,5.0
MAKEINDIA,20.0,5.0
MAMATA,20.0,5.0
MANAKCOAT,20.0,5.0
MANALIPETC,20.0,5.0
MANAPPURAM,20.0,5.0
MANBA,20.0,5.0
MANBRO,20.0,5.0
MANCREDIT,20.0,5.0
MANGLMCEM,20.0,5.0
MANINDS,20.0,5.0
MANINFRA,20.0,5.0
MANIPALHOS,20.0,5.0
MANKIND,20.0,5.0
MANOMAY,20.0,5.0
MANORAMA,20.0,5.0
MANYAVAR,20.0,5.0
MAPMYINDIA,20.0,5.0
MARATHON,20.0,5.0
MARICO,20.0,5.0
MARINE,20.0,5.0
MARKOLINES,20.0,5.0
MARKSANS,20.0,5.0
MARSONS,20.0,5.0
MARUTI,20.0,5.0
MASFIN,20.0,5.0
MASTEK,20.0,5.0
MASTERTR,20.0,5.0
MATRIMONY,20.0,5.0
MAWANASUG,20.0,5.0
MAXESTATES,20.0,5.0
MAXHEALTH,20.0,5.0
MAXIND,20.0,5.0
MAYURUNIQ,20.0,5.0
MAZDOCK,20.0,5.0
MBAPL,20.0,5.0
MBEL,20.0,5.0
MCLOUD,20.0,5.0
MCX,20.0,5.0
MEDANTA,20.0,5.0
MEDIASSIST,20.0,5.0
MEDICO,20.0,5.0
MEDPLUS,20.0,5.0
MEESHO,20.0,5.0
MEIL,20.0,5.0
METAL,20.0,5.0
METALIETF,20.0,5.0
METROBRAND,20.0,5.0
METROPOLIS,20.0,5.0
MFSL,20.0,5.0
MGL,20.0,5.0
MHRIL,20.0,5.0
MID150BEES,20.0,5.0
MID150CASE,20.0,5.0
MIDCAPETF,20.0,5.0
MIDCAPIETF,20.0,5.0
MIDHANI,20.0,5.0
MIDSMALL,20.0,5.0
MIDWESTLTD,20.0,5.0
MIIL,20.0,5.0
MILKYMIST,20.0,5.0
MINDACORP,20.0,5.0
MMFL,20.0,5.0
MMP,20.0,5.0
MMTC,20.0,5.0
MOBIKWIK,20.0,5.0
MOCAPITAL,20.0,5.0
MODEFENCE,20.0,5.0
MODIS,20.0,5.0
MOGOLD,20.0,5.0
MOIL,20.0,5.0
MOL,20.0,5.0
MOLBIO,20.0,5.0
MOLDTKPAC,20.0,5.0
MOM100,20.0,5.0
MOM30IETF,20.0,5.0
MOMENTUM50,20.0,5.0
MONARCH,20.0,5.0
MONIFTY500,20.0,5.0
MONTECARLO,20.0,5.0
MOREALTY,20.0,5.0
MOREPENLAB,20.0,5.0
MOSCHIP,20.0,5.0
MOSILVER,20.0,5.0
MOSMALL250,20.0,5.0
MOTHERSON,20.0,5.0
MOTILALOFS,20.0,5.0
MOTISONS,20.0,5.0
MPHASIS,20.0,5.0
MPSLTD,20.0,5.0
MRF,20.0,5.0
MRPL,20.0,5.0
MSPL,20.0,5.0
MSTCLTD,20.0,5.0
MSUMI,20.0,5.0
MTNL,20.0,5.0
MUFIN,20.0,5.0
MUFTI,20.0,5.0
MUKANDLTD,20.0,5.0
MUKKA,20.0,5.0
MUNJALAU,20.0,5.0
MUNJALSHOW,20.0,5.0
MUTHOOTFIN,20.0,5.0
MUTHOOTMF,20.0,5.0
MVELECTRO,20.0,5.0
MVGJL,20.0,5.0
MWL,20.0,5.0
NACLIND,20.0,5.0
NAHARINDUS,20.0,5.0
NAHARSPING,20.0,5.0
NAM-INDIA,20.0,5.0
NARMADA,20.0,5.0
NATCOPHARM,20.0,5.0
NATIONALUM,20.0,5.0
NATIONSTD,20.0,5.0
NAUKRI,20.0,5.0
NAVA,20.0,5.0
NAVINFLUOR,20.0,5.0
NAVKARCORP,20.0,5.0
NAVNETEDUL,20.0,5.0
NAZARA,20.0,5.0
NBCC,20.0,5.0
NCC,20.0,5.0
NCLIND,20.0,5.0
NDRAUTO,20.0,5.0
NELCAST,20.0,5.0
NELCO,20.0,5.0
NEOGEN,20.0,5.0
NEPHROPLUS,20.0,5.0
NESCO,20.0,5.0
NESTLEIND,20.0,5.0
NETWEB,20.0,5.0
NETWORK18,20.0,5.0
NEULANDLAB,20.0,5.0
NEWGEN,20.0,5.0
NEXT50,20.0,5.0
NEXT50BETA,20.0,5.0
NEXT50IETF,20.0,5.0
NFL,20.0,5.0
NGLFINE,20.0,5.0
NH,20.0,5.0
NHPC,20.0,5.0
NIACL,20.0,5.0
NIBE,20.0,5.0
NIF100BEES,20.0,5.0
NIFTY1,20.0,5.0
NIFTYAXIS,20.0,5.0
NIFTYBEES,20.0,5.0
NIFTYBETA,20.0,5.0
NIFTYCASE,20.0,5.0
NIFTYETF,20.0,5.0
NIFTYIETF,20.0,5.0
NIITLTD,20.0,5.0
NIITMTS,20.0,5.0
NILASPACES,20.0,5.0
NILKAMAL,20.0,5.0
NIRLON,20.0,5.0
NITCO,20.0,5.0
NITINSPIN,20.0,5.0
NIVABUPA,20.0,5.0
NLCINDIA,20.0,5.0
NMDC,20.0,5.0
NOCIL,20.0,5.0
NORTHARC,20.0,5.0
NOVARTIND,20.0,5.0
NPST,20.0,5.0
NRBBEARING,20.0,5.0
NSDL,20.0,5.0
NSLNISP,20.0,5.0
NTPC,20.0,5.0
NTPCGREEN,20.0,5.0
NUCLEUS,20.0,5.0
NUVAMA,20.0,5.0
NUVOCO,20.0,5.0
NYKAA,20.0,5.0
OAL,20.0,5.0
OBEROIRLTY,20.0,5.0
OFSS,20.0,5.0
OIL,20.0,5.0
OILIETF,20.0,5.0
OLAELEC,20.0,5.0
OLECTRA,20.0,5.0
OMAXAUTO,20.0,5.0
OMAXE,20.0,5.0
OMNI,20.0,5.0
OMPOWER,20.0,5.0
ONEPOINT,20.0,5.0
ONESOURCE,20.0,5.0
ONGC,20.0,5.0
ONIDA,20.0,5.0
ONIXSOLAR,100.0,1.0
ONWARDTEC,20.0,5.0
OPTIEMUS,20.0,5.0
ORCHPHARMA,20.0,5.0
ORIENTBELL,20.0,5.0
ORIENTCEM,20.0,5.0
ORIENTELEC,20.0,5.0
ORIENTHOT,20.0,5.0
ORIENTTECH,20.0,5.0
ORIRAIL,20.0,5.0
ORISSAMINE,20.0,5.0
ORKLAINDIA,20.0,5.0
OSWALPUMPS,20.0,5.0
PACEDIGITK,20.0,5.0
PAGEIND,20.0,5.0
PAISALO,20.0,5.0
PAKKA,20.0,5.0
PANACEABIO,20.0,5.0
PANAMAPET,20.0,5.0
PANORAMA,20.0,5.0
PARACABLES,20.0,5.0
PARADEEP,20.0,5.0
PARAGMILK,20.0,5.0
PARAS,20.0,5.0
PARKHOSPS,20.0,5.0
PARKHOTELS,20.0,5.0
PATANJALI,20.0,5.0
PATELENG,20.0,5.0
PATELRMART,20.0,5.0
PAUSHAKLTD,20.0,5.0
PAYTM,20.0,5.0
PCBL,20.0,5.0
PCJEWELLER,20.0,5.0
PDMJEPAPER,20.0,5.0
PDSL,20.0,5.0
PENIND,20.0,5.0
PERSISTENT,20.0,5.0
PETRONET,20.0,5.0
PFC,20.0,5.0
PFIZER,20.0,5.0
PFOCUS,20.0,5.0
PFS,20.0,5.0
PGEL,20.0,5.0
PGHH,20.0,5.0
PGHL,20.0,5.0
PGIL,20.0,5.0
PHARMABEES,20.0,5.0
PHOENIXLTD,20.0,5.0
PICCADIL,20.0,5.0
PIDILITIND,20.0,5.0
PIIND,20.0,5.0
PINELABS,20.0,5.0
PIRAMALFIN,20.0,5.0
PITTIENG,20.0,5.0
PIXTRANS,20.0,5.0
PLASTIBLEN,20.0,5.0
PLATIND,20.0,5.0
PNB,20.0,5.0
PNBGILTS,20.0,5.0
PNBHOUSING,20.0,5.0
PNCINFRA,20.0,5.0
PNGJL,20.0,5.0
PNGSREVA,20.0,5.0
POCL,20.0,5.0
POKARNA,20.0,5.0
POLICYBZR,20.0,5.0
POLYCAB,20.0,5.0
POLYMED,20.0,5.0
POLYPLEX,20.0,5.0
PONNIERODE,20.0,5.0
POONAWALLA,20.0,5.0
POWERGRID,20.0,5.0
POWERICA,20.0,5.0
POWERINDIA,20.0,5.0
POWERMECH,20.0,5.0
PPLPHARMA,20.0,5.0
PRABHA,20.0,5.0
PRAJIND,20.0,5.0
PRAKASH,20.0,5.0
PRAVEG,20.0,5.0
PRECAM,20.0,5.0
PRECWIRE,20.0,5.0
PREMEXPLN,20.0,5.0
PREMIERENE,20.0,5.0
PREMIERPOL,20.0,5.0
PRESTIGE,20.0,5.0
PRICOLLTD,20.0,5.0
PRIMESECU,20.0,5.0
PRINCEPIPE,20.0,5.0
PRIVISCL,20.0,5.0
PROSTARM,20.0,5.0
PROTEAN,20.0,5.0
PRSMJOHNSN,20.0,5.0
PRUDENT,20.0,5.0
PSB,20.0,5.0
PSPPROJECT,20.0,5.0
PSUBANK,20.0,5.0
PSUBNKBEES,20.0,5.0
PSUBNKIETF,20.0,5.0
PTC,20.0,5.0
PTCIL,20.0,5.0
PUNJABCHEM,20.0,5.0
PURVA,20.0,5.0
PVRINOX,20.0,5.0
PVTBANIETF,20.0,5.0
PVTBANKADD,20.0,5.0
PWL,20.0,5.0
PYRAMID,20.0,5.0
QGOLDHALF,20.0,5.0
QPOWER,20.0,5.0
QUADFUTURE,20.0,5.0
QUESS,20.0,5.0
RACLGEAR,20.0,5.0
RADHIKAJWE,20.0,5.0
RADICO,20.0,5.0
RAILTEL,20.0,5.0
RAIN,20.0,5.0
RAINBOW,20.0,5.0
RAJRATAN,20.0,5.0
RALLIS,20.0,5.0
RAMBHAJO,20.0,5.0
RAMCOCEM,20.0,5.0
RAMCOIND,20.0,5.0
RAMKY,20.0,5.0
RAMRAT,20.0,5.0
RANASUG,20.0,5.0
RANEHOLDIN,20.0,5.0
RATEGAIN,20.0,5.0
RATNAMANI,20.0,5.0
RATNAVEER,20.0,5.0
RAYMOND,20.0,5.0
RAYMONDLSL,20.0,5.0
RAYMONDREL,20.0,5.0
RBA,20.0,5.0
RBLBANK,20.0,5.0
RBZJEWEL,20.0,5.0
RCF,20.0,5.0
RECLTD,20.0,5.0
REDINGTON,20.0,5.0
REDTAPE,20.0,5.0
REFEX,20.0,5.0
REGAAL,20.0,5.0
RELAXO,20.0,5.0
RELIANCE,20.0,5.0
RELIGARE,20.0,5.0
RELTD,20.0,5.0
RENUKA,20.0,5.0
REPCOHOME,20.0,5.0
REPRO,20.0,5.0
RESPONIND,20.0,5.0
RGL,20.0,5.0
RHETAN,20.0,5.0
RHIM,20.0,5.0
RICOAUTO,20.0,5.0
RIIL,20.0,5.0
RIR,20.0,5.0
RISHABH,20.0,5.0
RITCO,20.0,5.0
RITES,20.0,5.0
RKFORGE,20.0,5.0
RMC,20.0,5.0
RML,20.0,5.0
ROLEXRINGS,20.0,5.0
ROSSARI,20.0,5.0
ROSSELLIND,20.0,5.0
ROSSTECH,20.0,5.0
ROTO,20.0,5.0
ROUTE,20.0,5.0
RPEL,20.0,5.0
RPGLIFE,20.0,5.0
RPOWER,20.0,5.0
RPPINFRA,20.0,5.0
RPSGVENT,20.0,5.0
RPTECH,20.0,5.0
RRKABEL,20.0,5.0
RSL,20.0,5.0
RSYSTEMS,20.0,5.0
RTNINDIA,20.0,5.0
RTNPOWER,20.0,5.0
RUBICON,20.0,5.0
RUPA,20.0,5.0
RUSHIL,20.0,5.0
RUSTOMJEE,20.0,5.0
RVNL,20.0,5.0
SAATVIKGL,20.0,5.0
SAFARI,20.0,5.0
SAGCEM,20.0,5.0
SAGILITY,20.0,5.0
SAHYADRI,20.0,5.0
SAIL,20.0,5.0
SAILIFE,20.0,5.0
SAIPARENT,20.0,5.0
SAKAR,20.0,5.0
SAKSOFT,20.0,5.0
SALASAR,20.0,5.0
SALSTEEL,20.0,5.0
SALZERELEC,20.0,5.0
SAMBHV,20.0,5.0
SAMHI,20.0,5.0
SAMMAANCAP,20.0,5.0
SANATHAN,20.0,5.0
SANDHAR,20.0,5.0
SANDUMA,20.0,5.0
SANGAMIND,20.0,5.0
SANGHVIMOV,20.0,5.0
SANOFI,20.0,5.0
SANOFICONR,20.0,5.0
SANSERA,20.0,5.0
SANSTAR,20.0,5.0
SAPPHIRE,20.0,5.0
SARDAEN,20.0,5.0
SAREGAMA,20.0,5.0
SASKEN,20.0,5.0
SATIN,20.0,5.0
SAURASHCEM,20.0,5.0
SBC,20.0,5.0
SBCL,100.0,1.0
SBFC,20.0,5.0
SBIBPB,20.0,5.0
SBICARD,20.0,5.0
SBIFUNDS,20.0,5.0
SBILIFE,20.0,5.0
SBIN,20.0,5.0
SBISENSEX,20.0,5.0
SBISILVER,20.0,5.0
SCHAEFFLER,20.0,5.0
SCHNEIDER,20.0,5.0
SCI,20.0,5.0
SCODATUBES,20.0,5.0
SDBL,20.0,5.0
SEAMECLTD,20.0,5.0
SEDEMAC,20.0,5.0
SEIL,20.0,5.0
SELECTRIC,20.0,5.0
SENCO,20.0,5.0
SENORES,20.0,5.0
SENSEXBEES,20.0,5.0
SENSEXBETA,20.0,5.0
SENSEXIETF,20.0,5.0
SEPC,20.0,5.0
SERVOTECH,20.0,5.0
SESHAPAPER,20.0,5.0
SETF10GILT,20.0,5.0
SETFGOLD,20.0,5.0
SETFNIF50,20.0,5.0
SETFNIFBK,20.0,5.0
SETFNN50,20.0,5.0
SETL,20.0,5.0
SFL,20.0,5.0
SGFIN,20.0,5.0
SGMART,20.0,5.0
SHADOWFAX,20.0,5.0
SHAILY,20.0,5.0
SHAKTIPUMP,20.0,5.0
SHALBY,20.0,5.0
SHANKARA,20.0,5.0
SHANKESH,20.0,5.0
SHANTIGEAR,20.0,5.0
SHANTIGOLD,20.0,5.0
SHARDACROP,20.0,5.0
SHARDAMOTR,20.0,5.0
SHAREINDIA,20.0,5.0
SHILCTECH,20.0,5.0
SHILPAMED,20.0,5.0
SHINDL,20.0,5.0
SHIPROCKET,20.0,5.0
SHK,20.0,5.0
SHOPERSTOP,20.0,5.0
SHREECEM,20.0,5.0
SHREEJISPG,20.0,5.0
SHREEPUSHK,20.0,5.0
SHRINGARMS,20.0,5.0
SHRIPISTON,20.0,5.0
SHRIRAMFIN,20.0,5.0
SHRIRAMPPS,20.0,5.0
SHUKRAPHAR,20.0,5.0
SHYAMMETL,20.0,5.0
SICAGEN,20.0,5.0
SIEMENS,20.0,5.0
SIGACHI,20.0,5.0
SIGMA,20.0,5.0
SIGNATURE,20.0,5.0
SIGNPOST,20.0,5.0
SIKA,20.0,5.0
SILGO,20.0,5.0
SILVER,20.0,5.0
SILVER1,20.0,5.0
SILVERAG,20.0,5.0
SILVERAXIS,20.0,5.0
SILVERBEES,20.0,5.0
SILVERBETA,20.0,5.0
SILVERCASE,20.0,5.0
SILVERIETF,20.0,5.0
SILVERTUC,20.0,5.0
SIMPLEXINF,20.0,5.0
SINDHUTRAD,20.0,5.0
SINGERIND,20.0,5.0
SIRCA,20.0,5.0
SIS,20.0,5.0
SIYSIL,20.0,5.0
SJS,20.0,5.0
SJVN,20.0,5.0
SKFINDIA,20.0,5.0
SKFINDUS,20.0,5.0
SKIPPER,20.0,5.0
SKMEGGPROD,20.0,5.0
SKYGOLD,20.0,5.0
SKYWAYS,20.0,5.0
SMALLCAP,20.0,5.0
SMARTWORKS,20.0,5.0
SMCGLOBAL,20.0,5.0
SML100CASE,20.0,5.0
SMLMAH,20.0,5.0
SMSPHARMA,20.0,5.0
SNOWMAN,20.0,5.0
SOBHA,20.0,5.0
SOLARA,20.0,5.0
SOLARINDS,20.0,5.0
SOLARWORLD,20.0,5.0
SOLEX,20.0,5.0
SOMANYCERA,20.0,5.0
SONACOMS,20.0,5.0
SONATSOFTW,20.0,5.0
SOTL,20.0,5.0
SOUTHBANK,20.0,5.0
SOUTHWEST,20.0,5.0
SPAL,20.0,5.0
SPANDANA,20.0,5.0
SPARC,20.0,5.0
SPIC,20.0,5.0
SPICEJET,20.0,5.0
SPLPETRO,20.0,5.0
SPMLINFRA,20.0,5.0
SPORTKING,20.0,5.0
SRF,20.0,5.0
SRM,20.0,5.0
SSWL,20.0,5.0
STANLEY,20.0,5.0
STAR,20.0,5.0
STARCEMENT,20.0,5.0
STARHEALTH,20.0,5.0
STEELCAS,20.0,5.0
STEELXIND,20.0,5.0
STLNETWORK,20.0,5.0
STOVEKRAFT,20.0,5.0
STUDDS,20.0,5.0
STYL,20.0,5.0
STYLAMIND,20.0,5.0
STYLEBAAZA,20.0,5.0
STYRENIX,20.0,5.0
SUBEXLTD,20.0,5.0
SUBROS,20.0,5.0
SUDARSCHEM,20.0,5.0
SUDEEPPHRM,20.0,5.0
SULA,20.0,5.0
SUMEETINDS,20.0,5.0
SUMICHEM,20.0,5.0
SUNDARMFIN,20.0,5.0
SUNDRMFAST,20.0,5.0
SUNDROP,20.0,5.0
SUNFLAG,20.0,5.0
SUNPHARMA,20.0,5.0
SUNSHINE,20.0,5.0
SUNTECK,20.0,5.0
SUNTV,20.0,5.0
SUPRAJIT,20.0,5.0
SUPREMEIND,20.0,5.0
SUPREMEINF,20.0,5.0
SUPRIYA,20.0,5.0
SURAJEST,20.0,5.0
SURAKSHA,20.0,5.0
SURYAROSNI,20.0,5.0
SURYODAY,20.0,5.0
SUVEN,20.0,5.0
SUYOG,20.0,5.0
SUZLON,20.0,5.0
SWANCORP,20.0,5.0
SWARAJENG,20.0,5.0
SWELECTES,20.0,5.0
SWIGGY,20.0,5.0
SWSOLAR,20.0,5.0
SYMBIOTEC,20.0,5.0
SYMPHONY,20.0,5.0
SYNCOMF,20.0,5.0
SYNGENE,20.0,5.0
SYRMA,20.0,5.0
TAALTECH,20.0,5.0
TAJGVK,20.0,5.0
TALBROAUTO,20.0,5.0
TANFACIND,20.0,5.0
TANLA,20.0,5.0
TARC,20.0,5.0
TARIL,20.0,5.0
TARSONS,20.0,5.0
TASTYBITE,20.0,5.0
TATACAP,20.0,5.0
TATACHEM,20.0,5.0
TATACOMM,20.0,5.0
TATACONSUM,20.0,5.0
TATAELXSI,20.0,5.0
TATAGOLD,20.0,5.0
TATAINVEST,20.0,5.0
TATAPOWER,20.0,5.0
TATASTEEL,20.0,5.0
TATATECH,20.0,5.0
TATSILV,20.0,5.0
TATVA,20.0,5.0
TBOTEK,20.0,5.0
TBZ,20.0,5.0
TCC,20.0,5.0
TCI,20.0,5.0
TCIEXP,20.0,5.0
TCPLPACK,20.0,5.0
TCS,20.0,5.0
TDPOWERSYS,20.0,5.0
TEAMLEASE,20.0,5.0
TECHM,20.0,5.0
TECHNOCRAF,20.0,5.0
TECHNOE,20.0,5.0
TEGA,20.0,5.0
TEJASNET,20.0,5.0
TEMBO,20.0,5.0
TEMPSENS,20.0,5.0
TENNIND,20.0,5.0
TERASOFT,20.0,5.0
TEXINFRA,20.0,5.0
TEXRAIL,20.0,5.0
TFCILTD,20.0,5.0
TGVSL,20.0,5.0
THANGAMAYL,20.0,5.0
THEJO,20.0,5.0
THELEELA,20.0,5.0
THEMISMED,20.0,5.0
THERMAX,20.0,5.0
THOMASCOOK,20.0,5.0
THOMASCOTT,20.0,5.0
THYROCARE,20.0,5.0
TI,20.0,5.0
TIGERLOGS,20.0,5.0
TIIL,20.0,5.0
TIINDIA,20.0,5.0
TIMETECHNO,20.0,5.0
TIMEX,20.0,5.0
TIMKEN,20.0,5.0
TINNARUBR,20.0,5.0
TIPSMUSIC,20.0,5.0
TIRUMALCHM,20.0,5.0
TITAGARH,20.0,5.0
TITAN,20.0,5.0
TMB,20.0,5.0
TMCV,20.0,5.0
TMPV,20.0,5.0
TNPETRO,20.0,5.0
TNPL,20.0,5.0
TOP100CASE,20.0,5.0
TOP10ADD,20.0,5.0
TORNTPHARM,20.0,5.0
TORNTPOWER,20.0,5.0
TPLPLASTEH,20.0,5.0
TRANSRAILL,20.0,5.0
TRAVELFOOD,20.0,5.0
TRENT,20.0,5.0
TRIDENT,20.0,5.0
TRITURBINE,20.0,5.0
TRIVENI,20.0,5.0
TRUALT,20.0,5.0
TSFINV,20.0,5.0
TTKHLTCARE,20.0,5.0
TTKPRESTIG,20.0,5.0
TTML,20.0,5.0
TURTLEMINT,20.0,5.0
TVSELECT,20.0,5.0
TVSHLTD,20.0,5.0
TVSMOTOR,20.0,5.0
TVSSCS,20.0,5.0
TVSSRICHAK,20.0,5.0
UBL,20.0,5.0
UCOBANK,20.0,5.0
UDS,20.0,5.0
UEL,20.0,5.0
UFLEX,20.0,5.0
UGARSUGAR,20.0,5.0
UGROCAP,20.0,5.0
UJJIVANSFB,20.0,5.0
ULTRACEMCO,20.0,5.0
ULTRAMAR,20.0,5.0
UNICHEMLAB,20.0,5.0
UNIECOM,20.0,5.0
UNIMECH,20.0,5.0
UNIONBANK,20.0,5.0
UNIPARTS,20.0,5.0
UNITDSPR,20.0,5.0
UNIVCABLES,20.0,5.0
UNOMINDA,20.0,5.0
UPL,20.0,5.0
URBANCO,20.0,5.0
USHAMART,20.0,5.0
UTIAMC,20.0,5.0
UTKARSHBNK,20.0,5.0
UTLSOLAR,20.0,5.0
UTTAMSUGAR,20.0,5.0
V2RETAIL,20.0,5.0
VADILALIND,20.0,5.0
VAIBHAVGBL,20.0,5.0
VAML,20.0,5.0
VARROC,20.0,5.0
VASCONEQ,20.0,5.0
VBL,20.0,5.0
VEDL,20.0,5.0
VEDPOWER,20.0,5.0
VEEDOL,20.0,5.0
VENKEYS,20.0,5.0
VENUSPIPES,20.0,5.0
VERANDA,20.0,5.0
VESUVIUS,20.0,5.0
VGUARD,20.0,5.0
VIDHIING,20.0,5.0
VIDYAWIRES,20.0,5.0
VIJAYA,20.0,5.0
VIKRAMSOLR,20.0,5.0
VIKRAN,20.0,5.0
VIMTALABS,20.0,5.0
VINATIORGA,20.0,5.0
VINCOFE,20.0,5.0
VINDHYATEL,20.0,5.0
VIPIND,20.0,5.0
VISACHROME,20.0,5.0
VISAKAIND,20.0,5.0
VISHNU,20.0,5.0
VISL,20.0,5.0
VIYASH,20.0,5.0
VMART,20.0,5.0
VMM,20.0,5.0
VOEPL,20.0,5.0
VOGL,20.0,5.0
VOLTAMP,20.0,5.0
VOLTAS,20.0,5.0
VPRPL,20.0,5.0
VRLLOG,20.0,5.0
VSSL,20.0,5.0
VSTIND,20.0,5.0
VSTTILLERS,20.0,5.0
VTL,20.0,5.0
WAAREEENER,20.0,5.0
WAAREEINDO,20.0,5.0
WAAREERTL,20.0,5.0
WABAG,20.0,5.0
WAKEFIT,20.0,5.0
WALCHANNAG,20.0,5.0
WANBURY,20.0,5.0
WEBELSOLAR,20.0,5.0
WELCORP,20.0,5.0
WELENT,20.0,5.0
WELSPLSOL,20.0,5.0
WELSPUNLIV,20.0,5.0
WENDT,20.0,5.0
WESTLIFE,20.0,5.0
WEWORK,20.0,5.0
WHEELS,20.0,5.0
WHIRLPOOL,20.0,5.0
WINDLAS,20.0,5.0
WINDMACHIN,20.0,5.0
WIPRO,20.0,5.0
WOCKPHARMA,20.0,5.0
WONDERLA,20.0,5.0
WPIL,20.0,5.0
WSTCSTPAPR,20.0,5.0
XPROINDIA,20.0,5.0
XTRANET,20.0,5.0
YASHO,20.0,5.0
YATHARTH,20.0,5.0
YATRA,20.0,5.0
YESBANK,20.0,5.0
YUKEN,20.0,5.0
ZAGGLE,20.0,5.0
ZEEL,20.0,5.0
ZEEMEDIA,20.0,5.0
ZENSARTECH,20.0,5.0
ZENTEC,20.0,5.0
ZFCVINDIA,20.0,5.0
ZOTA,20.0,5.0
ZUARI,20.0,5.0
ZUARIIND,20.0,5.0
ZYDUSLIFE,20.0,5.0
ZYDUSWELL,20.0,5.0
