symbol,mis_margin_percent,listed_mis_multiplier
BFINVEST,20.0,5.0
BFSI,20.0,5.0
BFUTILITIE,20.0,5.0
BHAGCHEM,20.0,5.0
BHAGYANGR,20.0,5.0
BHARATCOAL,20.0,5.0
BHARATFORG,20.0,5.0
BHARATRAS,20.0,5.0
BHARATSE,20.0,5.0
BHARATWIRE,20.0,5.0
BHARTIARTL,20.0,5.0
BHARTIHEXA,20.0,5.0
BHEL,20.0,5.0
BIKAJI,20.0,5.0
BIOCON,20.0,5.0
BIRLACORPN,20.0,5.0
BIRLANU,20.0,5.0
BLACKBUCK,20.0,5.0
BLEL,20.0,5.0
BLKASHYAP,20.0,5.0
BLS,20.0,5.0
BLSE,20.0,5.0
BLUECLOUDS,20.0,5.0
BLUEDART,20.0,5.0
BLUEJET,20.0,5.0
BLUESTARCO,20.0,5.0
BLUESTONE,20.0,5.0
BLUSPRING,20.0,5.0
BNAGROCHEM,20.0,5.0
BOMDYEING,20.0,5.0
BORANA,20.0,5.0
BOROLTD,20.0,5.0
BORORENEW,20.0,5.0
BOROSCI,20.0,5.0
BOSCH-HCIL,20.0,5.0
BOSCHLTD,20.0,5.0
BPCL,20.0,5.0
BRIGADE,20.0,5.0
BRIGHOTEL,20.0,5.0
BRITANNIA,20.0,5.0
BSE,20.0,5.0
BSLGOLDETF,20.0,5.0
BSLNIFTY,20.0,5.0
BSOFT,20.0,5.0
BTML,20.0,5.0
BUILDPRO,20.0,5.0
BUTTERFLY,20.0,5.0
CAMLINFINE,20.0,5.0
CAMPUS,20.0,5.0
CAMS,20.0,5.0
CANBK,20.0,5.0
CANFINHOME,20.0,5.0
CANHLIFE,20.0,5.0
CANTABIL,20.0,5.0
CAPACITE,20.0,5.0
CAPILLARY,20.0,5.0
CAPLIPOINT,20.0,5.0
CARBORUNIV,20.0,5.0
CARERATING,20.0,5.0
CARRARO,20.0,5.0
CARTRADE,20.0,5.0
CARYSIL,20.0,5.0
CASHIETF,20.0,5.0
CASTROLIND,20.0,5.0
CCAVENUE,20.0,5.0
CCL,20.0,5.0
CDSL,20.0,5.0
CEATLTD,20.0,5.0
CEIGALL,20.0,5.0
CEINSYS,20.0,5.0
CELLO,20.0,5.0
CENTENKA,20.0,5.0
CENTEXT,20.0,5.0
CENTRALBK,20.0,5.0
CENTRUM,20.0,5.0
CENTUM,20.0,5.0
CENTURYPLY,20.0,5.0
CERA,20.0,5.0
CESC,20.0,5.0
CEWATER,20.0,5.0
CGCL,20.0,5.0
CGPOWER,20.0,5.0
CHALET,20.0,5.0
CHAMBLFERT,20.0,5.0
CHEMICAL,20.0,5.0
CHEMPLASTS,20.0,5.0
CHENNPETRO,20.0,5.0
CHOICEIN,20.0,5.0
CHOLAFIN,20.0,5.0
CHOLAHLDNG,20.0,5.0
CIANAGRO,20.0,5.0
CIEINDIA,20.0,5.0
CIPLA,20.0,5.0
CLEAN,20.0,5.0
CLEANMAX,20.0,5.0
CLSEL,20.0,5.0
CMLL,20.0,5.0
CMPDI,20.0,5.0
CMRGREEN,20.0,5.0
CMSINFO,20.0,5.0
CNL,20.0,5.0
COALINDIA,20.0,5.0
COASTCORP,20.0,5.0
COCHINSHIP,20.0,5.0
COCKERILL,20.0,5.0
COFORGE,20.0,5.0
COHANCE,20.0,5.0
COLPAL,20.0,5.0
COMSYN,20.0,5.0
CONCOR,20.0,5.0
CONCORDBIO,20.0,5.0
CONFIPET,50.0,2.0
CONSUMBEES,20.0,5.0
CORDELIA,20.0,5.0
COROMANDEL,20.0,5.0
CORONA,20.0,5.0
COSMOFIRST,20.0,5.0
CPPLUS,20.0,5.0
CPSEETF,20.0,5.0
CRAFTSMAN,20.0,5.0
CRAMC,20.0,5.0
CREDITACC,20.0,5.0
CRISIL,20.0,5.0
CRIZAC,20.0,5.0
CROMPTON,20.0,5.0
CSBBANK,20.0,5.0
CSM,20.0,5.0
CUB,20.0,5.0
CUMMINSIND,20.0,5.0
CUPID,50.0,2.0
CYIENT,20.0,5.0
CYIENTDLM,20.0,5.0
DABUR,20.0,5.0
DALBHARAT,20.0,5.0
DALMIASUG,20.0,5.0
DAMCAPITAL,20.0,5.0
DATAMATICS,20.0,5.0
DATAPATTNS,20.0,5.0
DBCORP,20.0,5.0
DBL,20.0,5.0
DBOL,20.0,5.0
DBREALTY,20.0,5.0
DCAL,20.0,5.0
DCBBANK,20.0,5.0
DCI,20.0,5.0
DCMSHRIRAM,20.0,5.0
DCMSRIND,20.0,5.0
DCW,20.0,5.0
DCXINDIA,20.0,5.0
DDEVPLSTIK,20.0,5.0
DECNGOLD,20.0,5.0
DEEDEV,20.0,5.0
DEEPAKFERT,20.0,5.0
DEEPAKNTR,20.0,5.0
DEEPINDS,20.0,5.0
DEFENCE,20.0,5.0
DELHIVERY,20.0,5.0
DELTACORP,20.0,5.0
DENTA,20.0,5.0
DEVYANI,20.0,5.0
DHAMPURSUG,20.0,5.0
DHANBANK,20.0,5.0
DHANUKA,20.0,5.0
DHARMAJ,20.0,5.0
DHOOTTRANS,20.0,5.0
DIAMONDYD,20.0,5.0
DIFFNKG,20.0,5.0
DIGITIDE,20.0,5.0
DIVGIITTS,20.0,5.0
DIVISLAB,20.0,5.0
DIXON,20.0,5.0
DJML,20.0,5.0
DLF,20.0,5.0
DLINKINDIA,20.0,5.0
DMART,20.0,5.0
DMCC,20.0,5.0
DODLA,20.0,5.0
DOLATALGO,20.0,5.0
DOLLAR,20.0,5.0
DOLPHIN,20.0,5.0
DOMS,20.0,5.0
DPABHUSHAN,20.0,5.0
DRAGARWQ,20.0,5.0
DREDGECORP,20.0,5.0
DRREDDY,20.0,5.0
DSSL,20.0,5.0
DVL,20.0,5.0
DWARKESH,20.0,5.0
DYCL,20.0,5.0
DYNAMATECH,20.0,5.0
EASEMYTRIP,20.0,5.0
EBBETF0430,20.0,5.0
EBBETF0431,20.0,5.0
EBBETF0433,20.0,5.0
EBGNG,20.0,5.0
ECLERX,20.0,5.0
EDELWEISS,20.0,5.0
EFCIL,20.0,5.0
