eq_rank,worklist_rank,symbol,current_symbol,company_name,isin,strategy,research_score,eq_screen_pass,worklist_pass,current_series,snapshot_price,broker_listed,mis_margin_percent,budget,notional_cap,cash_cap_shares,illustrative_risk_shares,illustrative_planned_loss,risk_budget,tick_size,recent_median_value,recent_sessions,number_of_trades,audited_trades,short_trades,restricted_trades,unknown_series_trades,non_eq_trades,screen_reasons,worklist_reasons,historical_initial_investment,net_pnl,historical_ending_value,pnl_30bps,sharpe,max_drawdown,original_max_drawdown,excess_pnl,confidence_95_low,coverage_ratio,intraday,execution_validated
4611,,CRAVATEX,CRAVATEX,CRAVATEX LTD.,INE145E01017,open_to_close,73.91253587585737,True,False,EQ,329.5,False,,1000.0,500.0,1,1.0,4.299,5.0,0.05,36403.5,15.0,9,9,0,0,0,0,,Not listed in dated Zerodha MIS table | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,-3327.5243474573945,96672.4756525426,-6766.594157631596,-0.117466092131784,-0.09883506825447264,-0.0988350682544727,1643.9042239711707,-0.025627585486898,0.0036466774716369,True,False
4612,,AVAILFC,,AVAILABLE FINANCE LTD.,INE325G01010,volume_continuation,73.89769908060515,True,False,,,False,,1000.0,500.0,0,,,5.0,,,,1,1,0,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,-677.9874213836447,99322.01257861636,-1077.9874213836447,-0.319541811357817,-0.006779874213836412,-0.0067798742138364,-3333.373038044854,,0.0125607779578606,True,False
4613,,STARPAPER,STARPAPER,STAR PAPER MILLS LTD,INE733A01018,close_to_open,73.88626745147639,True,False,EQ,151.42,False,,1000.0,500.0,3,2.0,3.9956800000000388,5.0,0.01,1069072.025,20.0,2467,2467,0,0,0,0,,Not listed in dated Zerodha MIS table | Overnight strategy needs separate delivery and settlement review | Fails 20-session INR 50 crore liquidity screen,100000.0,3218212.4384046374,3318212.4384046374,-99829.2522085634,1.6948530724535815,-0.40624775227306875,-0.4062477522730687,3177008.6469354425,0.0009595078970686,1.0,False,False
4614,,PAISALO,PAISALO,PAISALO DIGITAL LIMITED,INE420C01059,gap_fade_050,73.876051953106,True,False,EQ,74.1,True,20.0,1000.0,500.0,6,,,5.0,0.01,472405092.115,20.0,533,533,392,0,0,0,,Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,141080.24840572648,241080.24840572648,-71462.98990888186,0.4967262029116819,-0.5415852829424684,-0.5415852829424684,58790.26714269363,-0.000574733048402,0.4153160453808752,True,False
4615,,PSB,PSB,PUNJAB & SIND BANK,INE608A01012,volume_reversal,73.87532227465098,True,False,EQ,23.23,True,20.0,1000.0,500.0,21,,,5.0,0.01,23273810.275,20.0,214,214,168,0,0,0,,Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen,100000.0,23084.5772737847,123084.5772737847,-47802.91807172715,0.2103923181132231,-0.4386855644088947,-0.4386855644088947,78665.52965473747,-0.0040632382118092,1.0,True,False
4616,,CRIZAC,CRIZAC,CRIZAC LIMITED,INE0S4R01014,reversal_5d,73.87264678698253,True,False,EQ,160.29,True,20.0,1000.0,500.0,3,2.0,4.221159999999989,5.0,0.01,35183258.06999999,20.0,108,108,41,0,0,0,,Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,1480.3577924028505,101480.35779240285,-34179.68661812313,0.0589766592051941,-0.24226816179306054,-0.2422681617930606,44340.28692805275,-0.0042417282009514,0.1138573743922204,True,False
4617,,AXTEL,AXTEL,AXTEL INDUSTRIES LTD.,INE767C01012,turn_of_month,73.8689983947074,True,False,EQ,394.5,False,,1000.0,500.0,1,0.0,,5.0,0.05,990784.95,15.0,3,3,0,0,0,0,,"Not listed in dated Zerodha MIS table | No whole share fits illustrative 1% stop and INR 5 planned-risk limit, or tick is missing | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades",100000.0,-3221.6017675993644,96778.39823240064,-4391.359190714982,-0.2051657920046382,-0.053843711290949225,-0.0538437112909492,163.5656965154776,-0.090584990306153,0.0036466774716369,True,False
4618,,PICCADIL,PICCADIL,PICCADILY AGRO INDUSTRI L,INE546C01010,volume_reversal,73.86656613319064,True,False,EQ,615.75,True,20.0,1000.0,500.0,0,,,5.0,0.05,140283606.825,20.0,22,22,16,0,0,0,,One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,-667.1211207994493,99332.87887920055,-9061.106761538089,0.0220262139922288,-0.13293749999999993,-0.1329374999999998,-9010.120292299398,-0.0185362709033392,0.1158833063209076,True,False
4619,,WAKEFIT,WAKEFIT,WAKEFIT INNOVATIONS LTD,INE0E7301029,reversal_1d,73.86607968088728,True,False,EQ,151.55,True,20.0,1000.0,500.0,3,2.0,3.996200000000039,5.0,0.01,160594555.17000002,20.0,74,74,31,0,0,0,,Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,272.2751164695219,100272.27511646952,-25476.444284325466,0.0518626224432935,-0.22833061224866824,-0.2283306122486682,23450.807541452552,-0.007888812671272,0.0700972447325769,True,False
4620,,FINKURVE,FINKURVE,FINKURVE FINANCIAL SERV L,INE734I01027,reversal_1d,73.86462032397723,True,False,EQ,72.31,True,20.0,1000.0,500.0,6,,,5.0,0.01,10083208.870000001,20.0,107,107,46,0,0,0,,Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,7099.874591321248,107099.87459132125,-30280.20461305088,0.1302260766670113,-0.36073984728020214,-0.3607398472802021,38563.01126178683,-0.0087862514381194,0.0903565640194489,True,False
