eq_rank,worklist_rank,symbol,current_symbol,company_name,isin,strategy,research_score,eq_screen_pass,worklist_pass,current_series,snapshot_price,broker_listed,mis_margin_percent,budget,notional_cap,cash_cap_shares,illustrative_risk_shares,illustrative_planned_loss,risk_budget,tick_size,recent_median_value,recent_sessions,number_of_trades,audited_trades,short_trades,restricted_trades,unknown_series_trades,non_eq_trades,screen_reasons,worklist_reasons,historical_initial_investment,net_pnl,historical_ending_value,pnl_30bps,sharpe,max_drawdown,original_max_drawdown,excess_pnl,confidence_95_low,coverage_ratio,intraday,execution_validated
2508,14,NTPC,NTPC,NTPC LTD,INE733E01010,gap_fade_050,82.21822250328356,True,True,EQ,332.5,True,20.0,1000.0,500.0,1,1.0,4.3750000000000115,5.0,0.05,2596856663.35,20.0,851,851,564,0,0,0,,,100000.0,494962.9006860505,594962.9006860505,-80227.3973327304,1.1809976172801795,-0.15303887265943206,-0.1530388726594319,387567.0999966119,0.0010625158335624,1.0,True,False
2679,15,INDUSTOWER,INDUSTOWER,INDUS TOWERS LIMITED,INE121J01017,gap_fade_100,81.55445833536021,True,True,EQ,376.8,True,20.0,1000.0,500.0,1,1.0,4.9636,5.0,0.05,1780856495.225,20.0,434,434,279,0,0,0,,,100000.0,276831.53568792634,376831.53568792634,-33530.098057191935,0.741651827909782,-0.4000479288704696,-0.4000479288704696,264436.91950688773,0.0005593242988763,1.0,True,False
2888,16,POWERGRID,POWERGRID,POWER GRID CORP. LTD.,INE752E01010,gap_fade_050,80.743542345673,True,True,EQ,266.0,True,20.0,1000.0,500.0,1,1.0,3.5119999999999774,5.0,0.05,2045111029.025,20.0,858,858,536,0,0,0,,,100000.0,519650.5563160052,619650.5563160052,-79974.058397225,1.1827498826425922,-0.24581554200662104,-0.245815542006621,472688.0043049087,0.0010819035171564,1.0,True,False
3008,17,CROMPTON,CROMPTON,CROMPT GREA CON ELEC LTD,INE299U01018,gap_fade_050,80.28092620518558,True,True,EQ,232.4,True,20.0,1000.0,500.0,2,1.0,3.074799999999993,5.0,0.01,847721314.9200001,20.0,1059,1059,751,0,0,0,,,100000.0,1195734.632164035,1295734.632164035,-81241.54822896788,1.2746364771087415,-0.3128087584402155,-0.3128087584402156,1151552.813982217,0.0013523216918705,1.0,True,False
3260,18,PETRONET,PETRONET,PETRONET LNG LIMITED,INE347G01014,volume_reversal,79.20392080556502,True,True,EQ,288.1,True,20.0,1000.0,500.0,1,1.0,3.776200000000023,5.0,0.05,504148000.35,20.0,91,91,64,0,0,0,,,100000.0,37615.12103163847,137615.12103163847,-4328.8533234968345,0.5018952555597284,-0.14349618729826874,-0.1434961872982687,-35949.29403028771,-0.0009612126050473,1.0,True,False
3644,19,BANKBARODA,BANKBARODA,BANK OF BARODA,INE028A01039,volume_reversal,77.63803084107603,True,True,EQ,239.0,True,20.0,1000.0,500.0,2,1.0,3.1679999999999864,5.0,0.01,1806686690.8600001,20.0,109,109,77,0,0,0,,,100000.0,23007.88354885601,123007.88354885601,-20479.77901104957,0.2586317764539527,-0.24427978683346518,-0.2442797868334651,8443.797767464232,-0.0034138712354995,1.0,True,False
3656,20,TMPV,TMPV,TATA MOTORS PASS VEH LTD,INE155A01022,volume_reversal,77.56141460329815,True,True,EQ,311.5,True,20.0,1000.0,500.0,1,1.0,4.093000000000023,5.0,0.05,2618626895.5,20.0,102,102,58,0,0,0,,,100000.0,17174.26950404224,117174.26950404224,-22105.05019945455,0.2466671504935319,-0.2425600632149657,-0.2425600632149658,16660.56633610392,-0.002904509943648,1.0,True,False
3850,21,PETRONET,PETRONET,PETRONET LNG LIMITED,INE347G01014,gap_fade_050,76.75730894585786,True,True,EQ,288.1,True,20.0,1000.0,500.0,1,1.0,3.776200000000023,5.0,0.05,504148000.35,20.0,915,915,639,0,0,0,,,100000.0,252563.2005417623,352563.2005417623,-90955.15895799376,0.7495095307942128,-0.2911410450973959,-0.2911410450973959,178998.7854798361,0.0002606999831949,1.0,True,False
3923,22,REDINGTON,REDINGTON,REDINGTON LIMITED,INE891D01026,gap_fade_050,76.4148465242983,True,True,EQ,371.3,True,20.0,1000.0,500.0,1,1.0,4.902599999999989,5.0,0.05,1285574404.2,20.0,1276,1276,939,0,0,0,,,100000.0,2166614.1508420524,2266614.1508420524,-86233.83873797052,1.142300069514683,-0.564769946301482,-0.5647699463014821,1595045.225490082,0.0012923855988574,1.0,True,False
4168,23,TIMETECHNO,TIMETECHNO,TIME TECHNOPLAST LTD.,INE508G01029,gap_fade_050,75.36581213212045,True,True,EQ,188.49,True,20.0,1000.0,500.0,2,2.0,4.973959999999991,5.0,0.01,603376241.075,20.0,1403,1403,1078,0,0,0,,,100000.0,2020495.6577969,2120495.6577969,-92265.7310345751,1.0309913762815663,-0.549935928025215,-0.549935928025215,1650258.1567367665,0.0010446756032565,1.0,True,False
